"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"CP"
"33";"12001015018P0";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"SAÚDE, SOCIEDADE E ENDEMIAS NA AMAZÔNIA";"MESTRADO";0,563541666666667
"34";"12001015021P1";"ENGENHARIAS IV";"ENGIV";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"ENGENHARIA ELÉTRICA";"MESTRADO";0,292708333333333
"35";"12001015022P8";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"ENGENHARIA CIVIL";"MESTRADO";0,378787878787879
"36";"12001015023P4";"HISTÓRIA";"HIST";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"HISTÓRIA";"MESTRADO";0,462083333333333
"37";"12001015024P0";"SOCIOLOGIA";"SOCI";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"SOCIOLOGIA";"MESTRADO";0,447685185185185
"38";"12001015025P7";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS PESQUEIRAS NOS TRÓPICOS";"MESTRADO/DOUTORADO";0,506349206349206
"39";"12001015026P3";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"GEOGRAFIA";"MESTRADO";0,441228070175439
"40";"12001015027P0";"SERVIÇO SOCIAL";"SSOC";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"SERVIÇO SOCIAL";"MESTRADO";0,638690476190476
"41";"12001015029P2";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTR";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"ANTROPOLOGIA SOCIAL";"MESTRADO/DOUTORADO";0,508333333333333
"42";"12001015032P3";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS DA COMUNICAÇÃO";"MESTRADO";0,561904761904762
"43";"12001015033P0";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO";0,465196078431373
"44";"12001015034P6";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"IMUNOLOGIA BÁSICA E APLICADA";"MESTRADO/DOUTORADO";0,510353535353535
"45";"12001015035P2";"MATERIAIS";"MATE";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIA E ENGENHARIA DE MATERIAIS";"MESTRADO";0,413157894736842
"46";"12001015036P9";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"PSICOLOGIA";"MESTRADO";0,396666666666667
"47";"12001015037P5";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"LETRAS";"MESTRADO";0,467283950617284
"48";"12001015038P1";"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"BIODIVERSIDADE E BIOTECNOLOGIA - REDE BIONORTE";"DOUTORADO";0,6
"49";"12001015039P8";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS DA SAÚDE";"MESTRADO";0,620833333333333
