"";"NM_PROGRAMA_IES";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"611";"PLANEJAMENTO URBANO E REGIONAL";0,445869922341696;0,0555555555555556;0,445869922341696;0,0555555555555556;NA;NA;NA;NA;NA;NA;NA
"612";"PLANTAS MEDICINAIS, AROMÁTICAS E CONDIMENTARES";0,617271312260536;0,1;0,617271312260536;0,1;NA;NA;NA;NA;NA;NA;NA
"613";"POLÍTICAS PÚBLICAS";0,626269841269841;0,0833333333333333;0,626269841269841;0,0833333333333333;NA;NA;NA;NA;NA;NA;NA
"614";"POLÍTICAS PÚBLICAS E FORMAÇÃO HUMANA";0,575509167609351;0,266666666666667;0,575509167609351;0,266666666666667;NA;NA;NA;NA;NA;NA;NA
"615";"POLÍTICAS SOCIAIS";0,559660146795703;0,111111111111111;0,559660146795703;0,111111111111111;NA;NA;NA;NA;NA;NA;NA
"616";"PRÁTICAS SOCIOCULTURAIS E DESENVOLVIMENTO SOCIAL";0,66483166922683;0,0833333333333333;0,66483166922683;0,0833333333333333;NA;NA;NA;NA;NA;NA;NA
"617";"PRESTAÇÃO JURISDICIONAL E DIREITOS HUMANOS";0,510971952883718;0,0769230769230769;0,510971952883718;0,0769230769230769;NA;NA;NA;NA;NA;NA;NA
"618";"PROCESSAMENTO DE MATERIAIS E CATÁLISE";0,686264256576756;0,545454545454545;0,686264256576756;0,545454545454545;NA;NA;NA;NA;NA;NA;NA
"619";"PROCESSOS CONSTRUTIVOS";0,573297961915958;0,181818181818182;0,573297961915958;0,181818181818182;NA;NA;NA;NA;NA;NA;NA
"620";"PROCESSOS E MANIFESTAÇÕES CULTURAIS";0,581354754072682;0,0714285714285714;0,581354754072682;0,0714285714285714;NA;NA;NA;NA;NA;NA;NA
"621";"PROCESSOS INTERATIVOS DOS ÓRGÃOS E SISTEMAS";0,425246921022783;0,153846153846154;0,425246921022783;0,153846153846154;NA;NA;NA;NA;NA;NA;NA
"622";"PROCESSOS QUÍMICOS E BIOTECNOLÓGICOS";0,71921629445823;0,307692307692308;0,71921629445823;0,307692307692308;NA;NA;NA;NA;NA;NA;NA
