"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"FCDo";"FCDi";"CC";"CP";"IMI"
"40";"12001015039P8";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS DA SAÚDE";"MESTRADO";0,805555555555555;0,692307692307692;1,2;0,620833333333333;0,829674145299145
"41";"12001015040P6";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"ODONTOLOGIA";"MESTRADO";0,523809523809524;0,78125;0,495833333333333;0,403070175438596;0,550990758145363
"42";"12001015041P2";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIA E TECNOLOGIA PARA RECURSOS AMAZÔNICOS";"MESTRADO";0,619047619047619;0,806451612903226;0,546328671328671;0,500333333333333;0,618040309153212
"43";"12001015042P9";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"ENSINO DE CIÊNCIAS E MATEMÁTICA";"MESTRADO";0,722222222222222;0,553571428571429;1,22916666666667;0,485984848484848;0,747736291486291
"44";"12001015064P2";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS AMBIENTAIS";"MESTRADO";0,666666666666667;0,648648648648649;1,07575757575758;0,538157894736842;0,732307696452433
"45";"12001015066P5";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIA ANIMAL";"MESTRADO";0,568627450980392;0,475;0,722222222222222;0,388636363636364;0,538621509209744
"46";"12008010001P9";"MEDICINA II";"MEDII";"ESTADUAL";"PÚBLICA";2002;"ACADÊMICO";"5";"NORTE";"AM";"UEA";"MEDICINA TROPICAL";"MESTRADO/DOUTORADO";0,48;0,358974358974359;0,541215487112276;0,494761904761905;0,468737937712135
"47";"12008010002P5";"DIREITO";"DIRE";"ESTADUAL";"PÚBLICA";2003;"ACADÊMICO";"3";"NORTE";"AM";"UEA";"DIREITO AMBIENTAL";"MESTRADO";0,5;0,392156862745098;1,275;0,425;0,648039215686274
"48";"12008010003P1";"BIOTECNOLOGIA";"BIOT";"ESTADUAL";"PÚBLICA";2003;"ACADÊMICO";"3";"NORTE";"AM";"UEA";"BIOTECNOLOGIA E RECURSOS NATURAIS DA AMAZÔNIA";"MESTRADO";0,644444444444444;0,575;0,55;0,411111111111111;0,545138888888889
"49";"12008010005P4";"ENSINO";"ENSI";"ESTADUAL";"PÚBLICA";2011;"ACADÊMICO";"4";"NORTE";"AM";"UEA";"EDUCAÇÃO EM CIÊNCIAS NA AMAZÔNIA";"MESTRADO";0,833333333333333;0,433962264150943;1,08333333333333;0,48452380952381;0,708788185085355
"50";"12008010007P7";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";"NORTE";"AM";"UEA";"SEGURANÇA PÚBLICA, CIDADANIA E DIREITOS HUMANOS";"MESTRADO PROF.";0,738095238095238;0,58695652173913;0,858070500927644;0,487916666666667;0,66775973185717
"51";"12008010008P3";"MEDICINA II";"MEDII";"ESTADUAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"AM";"UEA";"HEMATOLOGIA";"MESTRADO";0,622222222222222;0,76;0,644522144522145;0,463235294117647;0,622494915215503
"52";"12008010039P6";"LETRAS / LINGUÍSTICA";"LETR";"ESTADUAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORTE";"AM";"UEA";"LETRAS E ARTES";"MESTRADO";0,555555555555555;0,526315789473684;0,809375;0,424019607843137;0,578816488218094
"53";"12008010070P0";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"AM";"UEA";"CIÊNCIAS HUMANAS";"MESTRADO";0,625;0,76271186440678;0,691605392156863;0,462301587301587;0,635404710966307
"54";"13003011001P6";"ENSINO";"ENSI";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";"NORTE";"RR";"UERR";"ENSINO DE CIÊNCIAS";"MESTRADO PROF.";0,666666666666667;0,425925925925926;0,524343185550082;0,460555555555556;0,519372833424558
"55";"14001012001P6";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"PLUR";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"AP";"UNIFAP";"MESTRADO INTEGRADO EM DESENVOLVIMENTO REGIONAL";"MESTRADO";0,736842105263158;0,704918032786885;0,590852130325815;0,513888888888889;0,636625289316187
"56";"14001012004P5";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"AP";"UNIFAP";"CIÊNCIAS DA SAÚDE";"MESTRADO";0,716666666666667;0,412371134020619;0,645012239902081;0,604807692307692;0,594714433224265
"57";"14001012005P1";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"AP";"UNIFAP";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO";0,644444444444444;0,627450980392157;0,601481481481482;0,491666666666667;0,591260893246187
"58";"15001016002P5";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";1977;"ACADÊMICO";"5";"NORTE";"PA";"UFPA";"DESENVOLVIMENTO SUSTENTÁVEL DO TRÓPICO ÚMIDO";"MESTRADO/DOUTORADO";0,766666666666667;0,336283185840708;0,71359126984127;0,500347222222222;0,579222086142717
"59";"15001016003P1";"DIREITO";"DIRE";"FEDERAL";"PÚBLICA";1984;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"DIREITO";"MESTRADO/DOUTORADO";0,258064516129032;0,280701754385965;0,633988294314381;0,521759259259259;0,423628456022159
"60";"15001016004P8";"ENGENHARIAS IV";"ENGIV";"FEDERAL";"PÚBLICA";1986;"ACADÊMICO";"5";"NORTE";"PA";"UFPA";"ENGENHARIA ELÉTRICA";"MESTRADO/DOUTORADO";0,383333333333333;0,230769230769231;0,638888888888889;0,457440476190476;0,427607982295482
"61";"15001016007P7";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"QUÍMICA";"MESTRADO/DOUTORADO";0,194444444444444;0,196969696969697;0,420454545454545;0,485648148148148;0,324379208754209
"62";"15001016008P3";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"LETRAS: LINGÜÍSTICA E TEORIA LITERÁRIA";"MESTRADO/DOUTORADO";0,390804597701149;0,192090395480226;0,543589743589744;0,396388888888889;0,380718406415002
"63";"15001016009P0";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"5";"NORTE";"PA";"UFPA";"PSICOLOGIA (TEORIA E PESQUISA DO COMPORTAMENTO)";"MESTRADO/DOUTORADO";0,303030303030303;0,247191011235955;0,444480519480519;0,331140350877193;0,331460546155993
"64";"15001016010P8";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"ENGENHARIA QUÍMICA";"MESTRADO";0,416666666666667;0,490566037735849;0,479285714285714;0,416145833333333;0,450666063005391
"65";"15001016015P0";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"DOENÇAS TROPICAIS";"MESTRADO/DOUTORADO";0,529411764705882;0,302083333333333;0,586284722222222;0,588257575757576;0,501509349004753
"66";"15001016016P6";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"GEOFÍSICA";"MESTRADO/DOUTORADO";0,393939393939394;0,275862068965517;0,49537037037037;0,468452380952381;0,408406053556916
"67";"15001016018P9";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"ENGENHARIA MECÂNICA";"MESTRADO";0,274509803921569;0,386206896551724;0,482638888888889;0,45625;0,399901397340545
"68";"15001016022P6";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"ZOOLOGIA";"MESTRADO/DOUTORADO";0,333333333333333;0,0980392156862745;0,454185166229501;0,439722222222222;0,331319984367833
"69";"15001016027P8";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"AGRICULTURAS AMAZÔNICAS";"MESTRADO";0,733333333333333;0,545454545454545;0,585825163398693;0,559126984126984;0,605935006578389
"70";"15001016028P4";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"CIÊNCIA ANIMAL";"MESTRADO/DOUTORADO";0,492063492063492;0,372093023255814;0,512165178571429;0,376602564102564;0,438231064498325
"71";"15001016030P9";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"BIOLOGIA AMBIENTAL";"MESTRADO/DOUTORADO";0,518518518518518;0,257575757575758;0,497905525846702;0,486458333333333;0,440114533818578
