"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QFGDi";"QDP";"DFGDi";"FCDi"
"1758";"32011016006P0";"ENFERMAGEM";"ENFE";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"SUDESTE";"MG";"UNIFAL";"ENFERMAGEM";"MESTRADO";22;36;0,611111111111111;0,611111111111111
"1759";"32011016007P7";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";"SUDESTE";"MG";"UNIFAL";"BIOCIÊNCIAS APLICADAS À SAÚDE";"MESTRADO/DOUTORADO";13;25;0,52;0,52
"1760";"32011016008P3";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"SUDESTE";"MG";"UNIFAL";"CIÊNCIA E ENGENHARIA DE MATERIAIS";"MESTRADO";42;48;0,875;0,875
"1761";"32011016009P0";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"SUDESTE";"MG";"UNIFAL";"CIÊNCIAS ODONTOLÓGICAS";"MESTRADO";16;30;0,533333333333333;0,533333333333333
"1762";"32011016011P4";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"SUDESTE";"MG";"UNIFAL";"CIÊNCIA E ENGENHARIA AMBIENTAL";"MESTRADO";36;34;1,05882352941176;1,05882352941176
"1763";"32011016012P0";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"SUDESTE";"MG";"UNIFAL";"GESTÃO PÚBLICA E SOCIEDADE";"MESTRADO";34;34;1;1
"1764";"32011016013P7";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"SUDESTE";"MG";"UNIFAL";"ESTATÍSTICA APLICADA E BIOMETRIA";"MESTRADO";24;25;0,96;0,96
"1765";"32011016014P3";"HISTÓRIA";"HIST";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"SUDESTE";"MG";"UNIFAL";"HISTÓRIA IBÉRICA";"MESTRADO PROF.";24;38;0,631578947368421;0,631578947368421
"1766";"32011016015P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"SUDESTE";"MG";"UNIFAL";"EDUCAÇÃO";"MESTRADO";33;76;0,434210526315789;0,434210526315789
"1767";"32011016040P4";"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"SUDESTE";"MG";"UNIFAL";"CIÊNCIAS BIOLÓGICAS";"MESTRADO";23;33;0,696969696969697;0,696969696969697
"1768";"32011016041P0";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"SUDESTE";"MG";"UNIFAL";"ENGENHARIA QUÍMICA";"MESTRADO";28;31;0,903225806451613;0,903225806451613
"1769";"32011016042P7";"EDUCAÇÃO FÍSICA";"EFIS";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"SUDESTE";"MG";"UNIFAL";"CIÊNCIAS DA REABILITAÇÃO";"MESTRADO";24;44;0,545454545454545;0,545454545454545
"1770";"32011016043P3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;10;1,3;1,3
"1771";"32012012001P5";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";"SUDESTE";"MG";"UFTM";"CIÊNCIAS DA SAÚDE";"MESTRADO/DOUTORADO";11;61;0,180327868852459;0,180327868852459
"1772";"32012012003P8";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"5";"SUDESTE";"MG";"UFTM";"MEDICINA TROPICAL E INFECTOLOGIA";"MESTRADO/DOUTORADO";5;20;0,25;0,25
"1773";"32012012004P4";"ENFERMAGEM";"ENFE";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"SUDESTE";"MG";"UFTM";"ATENÇÃO À SAÚDE";"MESTRADO/DOUTORADO";8;30;0,266666666666667;0,266666666666667
"1774";"32012012005P0";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";"SUDESTE";"MG";"UFTM";"CIÊNCIAS FISIOLÓGICAS";"MESTRADO/DOUTORADO";10;17;0,588235294117647;0,588235294117647
"1775";"32012012006P7";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"4";"SUDESTE";"MG";"UFTM";"INOVAÇÃO TECNOLÓGICA";"MESTRADO PROF.";37;72;0,513888888888889;0,513888888888889
