"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QIP";"QPP";"DIPP";"DFPP";"QMP";"DFCP";"CC"
"1126";"31001017130P9";"DIREITO";"DIRE";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"DIREITO";"MESTRADO/DOUTORADO";6;28;0,214285714285714;1,46153846153846;2,23076923076923;0,782051282051282;0,498168498168498
"1127";"31001017131P5";"EDUCAÇÃO FÍSICA";"EFIS";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRJ";"EDUCAÇÃO FÍSICA";"MESTRADO/DOUTORADO";3;2;1,5;NA;NA;NA;NA
"1128";"31001017132P1";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2009;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA URBANA";"MESTRADO PROF.";4;16;0,25;1;1,28571428571429;0,857142857142857;0,553571428571429
"1129";"31001017138P0";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"CIÊNCIA DA INFORMAÇÃO - UFRJ - IBICT";"MESTRADO/DOUTORADO";4;26;0,153846153846154;1,15384615384615;1,15384615384615;1;0,576923076923077
"1130";"31001017139P6";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRJ";"METEOROLOGIA";"MESTRADO";4;20;0,2;2,625;3,125;1,00297619047619;0,601488095238095
"1131";"31001017141P0";"SAÚDE COLETIVA";"SCOL";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";"SUDESTE";"RJ";"FIOCRUZ";"BIOÉTICA, ÉTICA APLICADA E SAÚDE COLETIVA";"MESTRADO/DOUTORADO";4;5;0,8;NA;NA;NA;NA
"1132";"31001017142P7";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";2010;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"ARQUITETURA PAISAGÍSTICA";"MESTRADO PROF.";3;23;0,130434782608696;2;2,44444444444444;0,861111111111111;0,495772946859903
"1133";"31001017143P3";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRJ";"PRODUTOS BIOATIVOS E BIOCIÊNCIAS";"MESTRADO/DOUTORADO";3;23;0,130434782608696;1,91666666666667;1,41666666666667;1,375;0,752717391304348
"1134";"31001017144P0";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"4";"SUDESTE";"RJ";"UFRJ";"FORMAÇÃO CIENTÍFICA PARA PROFESSORES DE BIOLOGIA";"MESTRADO PROF.";3;55;0,0545454545454545;1;1;1;0,527272727272727
"1135";"31001017145P6";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS AMBIENTAIS E CONSERVAÇÃO";"MESTRADO/DOUTORADO";5;78;0,0641025641025641;1,94117647058824;2,82352941176471;0,906162464985994;0,485132514544279
"1136";"31001017146P2";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"BIODIVERSIDADE E BIOLOGIA EVOLUTIVA";"MESTRADO/DOUTORADO";3;59;0,0508474576271186;1,76190476190476;1,71428571428571;1,13809523809524;0,594471347861178
"1137";"31001017147P9";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"IMUNOLOGIA E INFLAMAÇAO";"MESTRADO/DOUTORADO";3;6;0,5;1,6;1,6;1;0,75
"1138";"31001017149P1";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"4";"SUDESTE";"RJ";"UFRJ";"QUÍMICA BIOLÓGICA";"MESTRADO PROF.";2;5;0,4;1;1;1;0,7
"1139";"31001017150P0";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"PROJETO E PATRIMÔNIO";"MESTRADO PROF.";2;14;0,142857142857143;1,9375;1,875;1,07291666666667;0,607886904761905
"1140";"31001017152P2";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"CLÍNICA ODONTOLÓGICA";"MESTRADO PROF.";3;12;0,25;1,02702702702703;1,32432432432432;0,851351351351351;0,550675675675676
