"";"SG_ENTIDADE_ENSINO";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"103";"UNESA";0,529465199152699;0,146969696969697;0,594163995726496;0,1;0,0271208557843776;0,00798209366391184;0,164684109082745;0,089342563562458;31,1038590159067;60,789785516724;0,291949894234101
"104";"UNESC";0,589590814622968;0,599206349206349;0,60744301994302;0,25;0,0120200004406123;0,404525699168556;0,109635762598763;0,636023347974393;18,5952290774532;106,144293834137;0,11316533819649
"105";"UNESPAR";0,652327967171717;0,0625;0,652327967171717;0,0625;NA;NA;NA;NA;NA;NA;NA
"106";"UNIAN-SP";0,682900432900433;0,534090909090909;0,682900432900433;0,534090909090909;0,00574269517121587;0,161415289256198;0,075780572518396;0,401765216583266;11,096869890174;75,2241256581433;1
"107";"UNIARA";0,592518177616326;0,124933155080214;0,599499955868128;0,0954545454545455;0,0024746183736512;0,007263832489729;0,0497455362183502;0,0852281202991653;8,39561351830154;68,2189769756829;-0,316066943225911
"108";"UNIB";0,496764122315593;0,25;0,496764122315593;0,25;NA;NA;NA;NA;NA;NA;NA
"109";"UNICAMP";0,425097292511607;0,31815430213968;0,400787820142356;0,170212765957447;0,00544327950414044;0,111376329251037;0,073778584319167;0,3337309234264;17,35569377148;104,895932942589;-0,245977924794013
"110";"UNICAP";0,578355379188712;1,25925925925926;0,604593253968254;1;0,00411969336066903;0,57201646090535;0,0641848374670298;0,756317698394894;11,0978197448539;60,0605231078298;0,787980463415383
"111";"UNICASTELO";0,5748304616508;0,404234654234654;0,552748842592593;0,538461538461538;0,00180221879913004;0,0779209297565941;0,0424525476164864;0,279143206538497;7,38522928909699;69,0547442220175;0,53234208498256
"112";"UNICENTRO";0,645178282804507;0,140740740740741;0,645102339181287;0,166666666666667;0,0150198391948681;0,0057201646090535;0,122555453550089;0,0756317698394894;18,9955949876918;53,7383627806898;0,95475965836633
"113";"UNICEUMA";0,548029990842491;0,738095238095238;0,548029990842491;0,738095238095238;0,00960768365177062;0,708616780045351;0,0980187923398907;0,841793787126842;17,8856620947342;114,04948083654;1
"114";"UNICID";0,450933632591241;0,888888888888889;0,450933632591241;0,888888888888889;NA;NA;NA;NA;NA;NA;NA
"115";"UNICRUZ";0,626740886801371;0,0773809523809524;0,626740886801371;0,0773809523809524;0,00290181541156744;0,0000708616780045351;0,053868501107488;0,00841793787126842;8,59501944773554;10,8785658644084;1
"116";"UNICSUL";0,519916807897631;0,213675213675214;0,586846187943262;0,230769230769231;0,0154510360555013;0,0166557089634013;0,124302196503124;0,129056998893517;23,9080934901413;60,398675482166;0,901692115803066
"117";"UNIFA";0,700818077230892;1,05882352941176;0,700818077230892;1,05882352941176;NA;NA;NA;NA;NA;NA;NA
"118";"UNIFACS";0,575626418839186;0,261363636363636;0,575626418839186;0,261363636363636;0,00000498256626900531;0,000258264462809917;0,0022321662727058;0,0160706086633306;0,387780372764546;6,14875461901345;1
"119";"UNIFAL";0,559928801325772;0,114078456802915;0,521510973397163;0,1;0,0131453403397914;0,0058855047252824;0,114653130527655;0,0767170432516947;20,4763766850686;67,2493697773569;-0,506526861808166
"120";"UNIFAP";0,592987663235226;0,358333333333333;0,592987663235226;0,358333333333333;0,00000596346919008867;0,190138888888889;0,00244202153759721;0,436049181731704;0,411816583885408;121,68814373908;-1
"121";"UNIFATEA";0,75992975734355;0,222222222222222;0,75992975734355;0,222222222222222;NA;NA;NA;NA;NA;NA;NA
"122";"UNIFEI";0,551383547173598;0,492897568118156;0,544295214134027;0,427272727272727;0,017805261138272;0,189277710890911;0,133436356133821;0,435060583012195;24,2002788835137;88,265921999417;-0,0428853182159889
"123";"UNIFENAS";0,500626691698846;0,192307692307692;0,488522588522589;0,25;0,0014382848783943;0,00998520710059172;0,0379247264775147;0,0999260081289737;7,57545035180195;51,9615242270663;0,276401751951515
"124";"UNIFESP";0,491053920772834;0,0777223031015026;0,471175964785556;0,0625;0,00928725004002731;0,00237741839060166;0,0963703794743349;0,0487587775749317;19,625213321312;62,7346020758731;-0,221544608671719
"125";"UNIFESSPA";0,68435257029007;0,0714285714285714;0,68435257029007;0,0714285714285714;NA;NA;NA;NA;NA;NA;NA
"126";"UNIFOR";0,563712867977664;0,446875;0,544065276953815;0,375;0,00761992633643325;0,124946469907407;0,0872921894354429;0,353477679503823;15,4852220685695;79,0999003085478;-0,548893821650661
"127";"UNIFRA";0,550778260665863;0,0916666666666667;0,554767677006118;0,0888888888888889;0,00292655950372106;0,0013477366255144;0,054097684827736;0,0367115325955537;9,82204431277564;40,048944649695;0,93530614423918
"128";"UNIFRAN";0,543086233092565;0,190907132083603;0,538469825220122;0,142857142857143;0,00286008888826474;0,0207780989179521;0,0534797988801822;0,144146102680413;9,84738621998304;75,5058761331599;-0,300840202988344
"129";"UNIGRANRIO";0,612216859227729;0,454545454545455;0,612216859227729;0,454545454545455;NA;NA;NA;NA;NA;NA;NA
"130";"UNIJUÍ";0,559217219640901;1,12667887667888;0,512859804490902;0,153846153846154;0,0124472943604193;2,87140268664994;0,111567443102454;1,69452137391357;19,9506451489632;150,399675452204;-0,362865838327784
"131";"UNILAB";0,744357174688057;0,0666666666666667;0,744357174688057;0,0666666666666667;NA;NA;NA;NA;NA;NA;NA
"132";"UNILASALLE";0,611338716185108;0,150291375291375;0,619487446775472;0,128787878787879;0,000922721061073662;0,00757350717140927;0,0303763240217387;0,0870258994289014;4,96882059282846;57,9047861264036;0,330045358224929
"133";"UNIMEP";0,550685468631897;0,1;0,550685468631897;0,1;NA;NA;NA;NA;NA;NA;NA
"134";"UNIMONTES";0,558092294569968;0,612870071105365;0,5406983057314;0,142857142857143;0,00473964093305663;1,21448114201012;0,0688450501710662;1,10203500035621;12,3357822426332;179,815437612836;-0,135424837896224
"135";"UNINOVE";0,621291763132256;0,353137137630172;0,623179112554113;0,166666666666667;0,00515249544622861;0,278168733516471;0,0717808849640948;0,527417039463527;11,5534905214597;149,35190419306;0,00332009371032385
"136";"UNIOESTE";0,522005290040378;0,321268176925161;0,531921942505816;0,142857142857143;0,0102359398388926;0,146936299845754;0,10117282164145;0,38332270979653;19,3815701817167;119,315493201128;0,209414967274835
"137";"UNIP";0,526520111852257;0,366666666666667;0,542374668770945;0,333333333333333;0,0231541765383121;0,0811111111111111;0,152164964884536;0,284800124843918;28,9001239381401;77,6727613210684;0,509649083891195
"138";"UNIPAR";0,562963492600589;0,142857142857143;0,562963492600589;0,142857142857143;NA;NA;NA;NA;NA;NA;NA
"139";"UNIR";0,595179981368613;0,3;0,617639825452325;0,266666666666667;0,0103920147373088;0,0311111111111111;0,101941231782379;0,176383420737639;17,1277991487493;58,7944735792131;-0,00770898567906688
"140";"UNIRIO";0,545401353349181;0,361151912603525;0,587636211610346;0,195238095238095;0,00540405574251401;0,413875702628937;0,0735122829363502;0,643331720521332;13,4785662860806;178,13327247351;0,216178293892626
"141";"UNISANTA";0,571522802943066;1,61538461538462;0,571522802943066;1,61538461538462;0,00495914358303748;2,66272189349112;0,070421187032295;1,63178487966126;12,3216758228473;101,015254455221;-1
"142";"UNISC";0,576391133485256;0,419386169386169;0,561696049836221;0,25;0,00273587087752645;0,217533107658982;0,0523055530276323;0,466404446439977;9,07466301769027;111,211213074248;0,680555361696206
"143";"UNISINOS";0,494431533381883;0,379633356839239;0,482736291486291;0,214285714285714;0,00968392667705173;0,265411820499395;0,0984069442521804;0,515181347196688;19,9030477645879;135,704973737292;0,0854960491070703
"144";"UNISO";0,664129459884033;0,571794871794872;0,646826923076923;0,538461538461538;0,00102362379194838;0,239428007889546;0,0319941212091906;0,489313813303432;4,81745249108167;85,5750615194344;0,877224974901708
"145";"UNISOCIESC";0,82093253968254;0,833333333333333;0,82093253968254;0,833333333333333;NA;NA;NA;NA;NA;NA;NA
"146";"UNISUAM";0,638996949317947;0,846153846153846;0,638996949317947;0,846153846153846;NA;NA;NA;NA;NA;NA;NA
"147";"UNISUL";0,538282116825297;0,199035169623405;0,550212142091683;0,176470588235294;0,000598340962149661;0,00493276468176232;0,0244610090174069;0,0702336435176356;4,54427302204911;35,2870518564759;-0,988149058796232
"148";"UNIT-SE";0,63450408874751;2,23589743589744;0,63450408874751;2,23589743589744;0,00101065728799483;0,183090072320841;0,031790836541287;0,427890257333398;5,01034384254971;19,1372936192689;-1
