"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO.x";"SG_AREA_AVALIACAO.x";"CS_STATUS_JURIDICO.x";"DS_DEPENDENCIA_ADMINISTRATIVA.x";"ANO_INICIO_PROGRAMA.x";"NM_MODALIDADE_PROGRAMA.x";"CD_CONCEITO_PROGRAMA.x";"NM_REGIAO.x";"SG_UF_PROGRAMA.x";"SG_ENTIDADE_ENSINO.x";"NM_PROGRAMA_IES.x";"NM_GRAU_PROGRAMA.x";"FCDo";"FCDi";"CC";"CP";"IMI";"NM_AREA_AVALIACAO.y";"SG_AREA_AVALIACAO.y";"CS_STATUS_JURIDICO.y";"DS_DEPENDENCIA_ADMINISTRATIVA.y";"ANO_INICIO_PROGRAMA.y";"NM_MODALIDADE_PROGRAMA.y";"CD_CONCEITO_PROGRAMA.y";"NM_REGIAO.y";"SG_UF_PROGRAMA.y";"SG_ENTIDADE_ENSINO.y";"NM_PROGRAMA_IES.y";"NM_GRAU_PROGRAMA.y";"QPPP";"SPPP";"SPPPr";"SAPP";"QPPa";"QPPr";"QPA";"IPT"
"1695";"32005016011P8";"SOCIOLOGIA";"SOCI";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"CIÊNCIAS SOCIAIS";"MESTRADO/DOUTORADO";0,518518518518518;0,380952380952381;0,542770071458596;0,368253968253968;0,452623734795866;"SOCIOLOGIA";"SOCI";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"CIÊNCIAS SOCIAIS";"MESTRADO/DOUTORADO";18;0;0;0;0;0;0;0
"1696";"32005016012P4";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"ECOLOGIA";"MESTRADO/DOUTORADO";0,439393939393939;0,290322580645161;0,534422731356694;0,397222222222222;0,415340368404504;"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"ECOLOGIA";"MESTRADO/DOUTORADO";22;0;1;0;0;1;0;0,0454545454545455
"1697";"32005016013P0";"SERVIÇO SOCIAL";"SSOC";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"SERVIÇO SOCIAL";"MESTRADO";0,358974358974359;0,459459459459459;0,578626703626704;0,556862745098039;0,48848081678964;"SERVIÇO SOCIAL";"SSOC";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"SERVIÇO SOCIAL";"MESTRADO";13;0;0;0;0;0;0;0
"1698";"32005016014P7";"MEDICINA I";"MEDI";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"5";"SUDESTE";"MG";"UFJF";"SAÚDE";"MESTRADO/DOUTORADO";0,611111111111111;0,258823529411765;0,498087159015303;0,506388888888889;0,468602672106767;"MEDICINA I";"MEDI";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"5";"SUDESTE";"MG";"UFJF";"SAÚDE";"MESTRADO/DOUTORADO";24;6;1;0;6;1;0;0,291666666666667
"1699";"32005016015P3";"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"CIÊNCIAS BIOLÓGICAS";"MESTRADO/DOUTORADO";0,518518518518518;0,142857142857143;0,463675213675214;0,469230769230769;0,398570411070411;"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"CIÊNCIAS BIOLÓGICAS";"MESTRADO/DOUTORADO";18;10;4;0;10;4;0;0,777777777777778
"1700";"32005016016P0";"ECONOMIA";"ECON";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"PROGRAMA DE PÓS-GRADUAÇÃO EM ECONOMIA";"MESTRADO/DOUTORADO";0,380952380952381;0,354166666666667;0,551984126984127;0,52962962962963;0,454183201058201;"ECONOMIA";"ECON";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"PROGRAMA DE PÓS-GRADUAÇÃO EM ECONOMIA";"MESTRADO/DOUTORADO";14;0;0;0;0;0;0;0
"1701";"32005016017P6";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"MODELAGEM COMPUTACIONAL";"MESTRADO/DOUTORADO";0,481481481481481;0,5;0,625727272727273;0,49;0,524302188552189;"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"MODELAGEM COMPUTACIONAL";"MESTRADO/DOUTORADO";18;1;0;1;1;0;1;0,111111111111111
"1702";"32005016018P2";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";"SUDESTE";"MG";"UFJF";"CLÍNICA ODONTOLÓGICA";"MESTRADO";0,261904761904762;0,181818181818182;0,476041666666667;0,385294117647059;0,326264682009167;"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";"SUDESTE";"MG";"UFJF";"CLÍNICA ODONTOLÓGICA";"MESTRADO";14;5;2;0;5;2;0;0,5
"1703";"32005016019P9";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"COMUNICAÇÃO";"MESTRADO";0,512820512820513;0,463414634146341;0,564075630252101;0,38578431372549;0,481523772736111;"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"COMUNICAÇÃO";"MESTRADO";13;0;0;0;0;0;0;0
"1704";"32005016020P7";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"LETRAS: ESTUDOS LITERÁRIOS";"MESTRADO/DOUTORADO";0,416666666666667;0,355932203389831;0,655357142857143;0,406140350877193;0,458524090947708;"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"SUDESTE";"MG";"UFJF";"LETRAS: ESTUDOS LITERÁRIOS";"MESTRADO/DOUTORADO";16;0;0;0;0;0;0;0
